name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,no-props
Charles Bassey,C,5600,SA,7.74,0.0,1.3821428571428571,0.0,-28.0,1
Brook Lopez,C,6000,MIL,31.41,0.0,5.235,0.0,-30.0,1
Collin Sexton,PG/SG,6000,UTA,28.98,0.0,4.83,0.0,-30.0,1
Tari Eason,SF/PF,6100,HOU,21.24,0.0,3.481967213114754,0.0,-30.5,1
Isaiah Collier,PG,6200,UTA,28.17,0.0,4.5435483870967746,0.0,-31.0,1
Kyle Kuzma,SF/PF,6400,MIL,31.23,0.0,4.8796875,0.0,-32.0,1
Alexandre Sarr,C,6400,WAS,24.93,0.0,3.8953124999999997,0.0,-32.0,1
Keyonte George,PG/SG,6500,UTA,27.54,0.0,4.236923076923077,0.0,-32.5,1
Fred VanVleet,PG,6700,HOU,27.27,0.0,4.070149253731343,0.0,-33.5,1
Kyle Filipowski,PF/C,7300,UTA,32.04,0.0,4.389041095890411,0.0,-36.5,1
Devin Vassell,SG/SF,7300,SA,28.17,0.0,3.8589041095890413,0.0,-36.5,1
Stephon Castle,PG/SG,7400,SA,35.1,0.0,4.743243243243244,0.0,-37.0,1
Jalen Green,SG,7800,HOU,32.49,0.0,4.165384615384616,0.0,-39.0,1
Dyson Daniels,PG/SG,8200,ATL,33.75,0.0,4.115853658536586,0.0,-41.0,1
Onyeka Okongwu,C,8600,ATL,35.91,0.0,4.1755813953488365,0.0,-43.0,1
Amen Thompson,PG/SF,8800,HOU,33.48,0.0,3.8045454545454542,0.0,-44.0,1
Alperen Sengun,C,9200,HOU,37.44,0.0,4.069565217391305,0.0,-46.0,1
Trae Young,PG,10200,ATL,46.8,0.0,4.588235294117647,0.0,-51.0,1
