name,pos,salary,team,opp,gametime,fpts,e_fpts,props,fpts/$,e_fpts/$,open,e_open,movement,e_movement
Peyton Watson,SF/PF,7700.0,DEN,DAL,"(9, 30)",38.38,18.91,PRASB3(T),4.984415584415585,2.4558441558441557,37.38,18.18,1.0,0.73
Alexandre Sarr,C,7600.0,WAS,LAC,"(10, 30)",35.32,17.66,---,4.647368421052632,2.323684210526316,33.58,16.79,1.74,0.87
Brandon Ingram,SG,7600.0,TOR,IND,"(7, 0)",41.88,20.99,PRASB3(T),5.510526315789474,2.7618421052631574,39.88,19.57,2.0,1.42
Darius Garland,PG,7500.0,CLE,PHI,"(7, 0)",31.88,16.25,PRASB3T,4.250666666666667,2.1666666666666665,31.88,16.17,0.0,0.08
Jusuf Nurkic,C,7300.0,UTA,CHI,"(8, 0)",39.62,18.88,PRASB3(T),5.427397260273972,2.5863013698630137,39.62,18.41,0.0,0.47
DeMar DeRozan,SF/PF,7200.0,SAC,NY,"(10, 0)",31.38,15.76,PRASB3(T),4.358333333333333,2.1888888888888887,34.12,16.09,-2.74,-0.33
Andrew Nembhard,PG,7200.0,IND,TOR,"(7, 0)",36.62,16.56,PRASB3T,5.08611111111111,2.3,36.62,16.51,0.0,0.05
VJ Edgecombe,SG,7200.0,PHI,CLE,"(7, 0)",32.62,16.11,PRASB3(T),4.530555555555555,2.2375,32.12,16.1,0.5,0.01
Josh Hart,SG/SF,7100.0,NY,SAC,"(10, 0)",33.12,15.7,PRASB3(T),4.664788732394366,2.211267605633803,31.62,16.18,1.5,-0.48
Immanuel Quickley,PG,7000.0,TOR,IND,"(7, 0)",35.88,17.53,PRASB3(T),5.125714285714286,2.5042857142857144,33.88,16.88,2.0,0.65
Mikal Bridges,SF,6900.0,NY,SAC,"(10, 0)",30.88,14.42,PRASB3(T),4.47536231884058,2.089855072463768,29.38,14.74,1.5,-0.32
Derik Queen,PF/C,6900.0,NO,NO,"(8, 0)",34.88,16.48,PRASB3T,5.055072463768116,2.3884057971014494,34.88,15.95,0.0,0.53
Zach LaVine,SG,6700.0,SAC,NY,"(10, 0)",28.88,14.78,PRASB3(T),4.3104477611940295,2.2059701492537314,29.88,14.72,-1.0,0.06
Matas Buzelis,PF,6600.0,CHI,UTA,"(8, 0)",32.71,16.355,---,4.956060606060606,2.478030303030303,31.73,15.86,0.98,0.5
Aaron Gordon,PF,6600.0,DEN,DAL,"(9, 30)",33.62,16.84,PRASB3(T),5.093939393939394,2.5515151515151513,32.38,16.26,1.24,0.58
OG Anunoby,PF,6600.0,NY,SAC,"(10, 0)",27.38,14.64,PRASB3(T),4.148484848484848,2.2181818181818183,29.88,14.69,-2.5,-0.05
Paul George,SF/PF,6600.0,PHI,CLE,"(7, 0)",32.12,15.87,PRASB3(T),4.866666666666667,2.4045454545454543,32.12,15.83,0.0,0.04
Jarrett Allen,C,6400.0,CLE,PHI,"(7, 0)",30.88,14.84,PRASB(T),4.824999999999999,2.31875,30.88,14.57,0.0,0.27
PJ Washington,SF/PF,6300.0,DAL,DEN,"(9, 30)",27.88,13.76,PRASB3(T),4.425396825396826,2.184126984126984,27.88,13.76,0.0,0.0
